Name,Won batting first,Won batting second,Avg 1st Inngs Score,Std Dev - 1st Inngs Score,Avg 1st Inngs Wkts,Std Dev - 1st Inngs Wkts,Avg 2nd Inngs Score,Std Dev - 2nd Inngs Score,Avg 2nd Inngs Wkts,Std Dev - 2nd Inngs Wkts,Straight1,Straight2,Side1,Side2
Kennington Oval,18,30,257.02,60.53,4.52,3.31,226.65,55.4,3.21,3.11,68,66,67,70
Trent Bridge,12,14,269.96,96.53,4.33,3.69,234.59,68.15,3.3,3.3,72,64,64,64
County Ground Bristol,5,9,239.43,82.9,4.21,3.98,224.79,71.29,3.29,2.55,63,66,67,69
The Rose Bowl,14,15,255.28,66.64,4.72,3.29,216.34,70.43,2.83,2.67,82,82,76,76
The Cooper Associates County Ground,1,2,266.67,82.28,2.67,4.62,253.67,75.26,2.0,1.73,65,68,65,64
Emirates Old Trafford,15,13,237.29,74.87,4.82,3.78,203.71,66.62,2.89,3.5,70,73,65,77
Edgbaston,14,18,246.84,72.66,5.53,3.51,205.34,60.38,3.09,3.07,66,73,63,69
Headingley,8,12,266.25,55.49,6.35,2.52,248.4,44.0,3.05,2.95,70,65,72,66
Lord's,21,17,244.54,51.56,4.88,3.52,216.95,47.4,2.88,3.2,82,70,65,60
Riverside Ground,7,10,250.24,66.67,5.24,3.29,213.59,63.48,3.59,3.39,72,72,78,74
Sophia Gardens,8,16,239.92,72.27,3.64,3.66,213.96,55.55,3.12,3.02,60,64,74,72
Chinnaswamy Stadium,7,6,288.5,70.04,4.64,3.63,269.64,56.82,4.64,3.08,65,60,50,55
MA Chidambaram Stadium,9,6,242.47,76.34,3.33,3.74,218.2,72.25,3.07,3.58,66,66,69,69
Narendra Modi Stadium,8,10,254.17,65.14,4.89,3.29,221.06,67.32,2.94,3.1,75,75,60,60
Arun Jaitley Stadium,8,6,230.36,58.63,3.64,3.95,194.5,50.16,2.14,2.6,68,68,65,65
Himachal Pradesh Cricket Association Stadium,1,3,214.5,90.52,1.5,3.0,201.5,66.31,2.5,1.73,68,68,63,63
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,2,234.75,27.18,5.0,3.92,222.5,28.24,4.0,3.37,70,68,63,65
Rajiv Gandhi International Cricket Stadium,4,3,288.0,48.4,6.0,3.06,262.57,60.31,1.86,2.34,71,69,66,69
Maharashtra Cricket Association Stadium,4,3,307.0,40.39,6.29,3.15,281.43,54.5,3.43,3.64,74,74,65,65
Eden Gardens,9,5,279.29,52.93,4.21,3.4,227.14,63.0,1.86,2.91,72,64,64,64
Wankhede Stadium,5,7,269.42,70.3,3.92,3.68,229.08,38.73,3.25,3.25,70,70,70,70
